Generation,ScoreElitism0,ScoreElitism5
1,315,370
2,388,415
3,465,786
4,510,786
5,601,786
6,586,786
7,802,847
8,686,847
9,504,847
10,504,847
11,605,847
12,572,847
13,828,847
14,660,847
15,756,847
16,511,847
17,482,847
18,688,847
19,553,847
20,588,847
21,536,847
22,664,847
23,709,847
24,812,847
25,700,847
26,781,847
27,781,847
28,781,847
29,775,847
30,696,847
31,493,847
32,588,847
33,732,847
34,618,847
35,625,847
36,714,847
37,842,847
38,749,847
39,805,847
40,741,847
41,741,847
42,765,847
43,765,847
44,765,847
45,749,847
46,534,847
47,552,847
48,623,847
49,440,847
50,487,847
