Generation,WeightsFactor1,WeightsFactor2
1,370,247
2,415,449
3,786,714
4,786,714
5,786,798
6,786,798
7,847,798
8,847,798
9,847,798
10,847,798
11,847,798
12,847,798
13,847,798
14,847,837
15,847,837
16,847,837
17,847,837
18,847,837
19,847,837
20,847,837
21,847,837
22,847,837
23,847,850
24,847,850
25,847,850
26,847,850
27,847,850
28,847,850
29,847,850
30,847,850
31,847,850
32,847,850
33,847,850
34,847,850
35,847,850
36,847,850
37,847,850
38,847,850
39,847,850
40,847,850
41,847,850
42,847,850
43,847,850
44,847,850
45,847,850
46,847,850
47,847,853
48,847,853
49,847,853
50,847,853
51,847,853
52,847,853
53,847,853
54,847,857
55,847,857
56,847,857
57,847,857
58,847,857
59,847,857
60,847,860
61,847,860
62,847,860
63,847,860
64,847,860
65,847,860
66,847,860
67,847,860
68,847,860
69,847,860
70,847,860
71,847,860
72,847,860
73,847,860
74,847,860
75,847,860
76,847,860
77,847,860
78,847,860
79,847,860
80,847,860
81,847,860
82,847,860
83,847,860
84,847,860
85,847,860
86,847,860
87,847,860
88,847,860
89,847,860
90,847,860
91,847,860
92,847,860
93,847,860
94,847,860
95,847,860
96,847,860
97,847,860
98,847,860
99,847,860
100,847,860
