x,y
0.00778646,0.585652
0.5037,0.0539817
0.26209,0.299723
0.591187,0.0375102
0.133434,0.372009
0.18105,0.511871
0.842616,0.0414483
0.956273,0.0471179
0.508317,0.00081025
0.450616,0.0230979
0.126071,0.607717
0.212459,0.243084
0.402538,0.186859
0.599834,0.0525541
0.00832973,0.247974
0.42923,0.0556653
0.667501,0.0290642
0.108219,0.501136
0.235058,0.0477382
0.0228302,0.649607
0.0929526,0.668509
0.0342796,0.0857094
0.141375,0.368145
0.582391,0.104339
0.0960805,0.980443
0.155314,0.387582
0.0560905,0.727748
0.0276488,0.445345
0.0174454,0.886715
0.136309,0.227095
0.331434,0.266831
0.984537,0.0124693
0.609037,0.0480165
0.223603,0.354377
0.0376859,0.241048
0.241091,0.3955
0.622595,0.115623
0.0961005,0.954028
0.382453,0.0806378
0.0227882,0.484674
0.0263197,0.945382
0.158164,0.283875
0.367644,0.0799214
0.0293272,0.356511
0.0574608,0.810759
0.865508,0.0837805
0.756141,0.0236727
0.367655,0.123785
0.103594,0.965176
0.641439,0.132921
0.997857,0.00614174
0.71447,0.104393
0.150802,0.223366
0.188542,0.436517
0.265277,0.158602
0.95039,0.019871
0.0701438,0.331912
0.768915,0.033706
0.0981169,0.00535847
0.538667,0.0207446
0.698707,0.131262
0.350398,0.267192
0.132734,0.623829
0.00148045,0.473828
0.291345,0.342282
0.0354254,0.26104
0.528232,0.155314
0.173918,0.332016
