x,y
0.0478475,0.796755
0.831281,0.774449
0.046232,0.560437
0.301049,0.93188
0.517392,0.408675
0.932068,0.243943
0.133578,0.701043
0.455304,0.32509
0.851934,0.553763
0.158878,0.537932
0.907524,0.206725
0.334687,0.738805
0.981174,0.380919
0.524279,0.600291
0.736342,0.604912
0.553131,0.66841
0.848855,0.686709
0.986556,0.614025
0.309759,0.441861
0.939115,0.161694
0.995624,0.997081
0.535014,0.535635
0.361227,0.869701
0.25062,0.573683
0.498042,0.774899
0.173974,0.585562
0.919355,0.910316
0.190474,0.472487
0.159196,0.948179
