x,y,target
0.390897,0.715187,1
0.00778646,0.585652,-1
0.213459,0.558191,1
0.5037,0.0539817,-1
0.460223,0.219909,1
0.883953,0.875958,1
0.41543,0.271602,1
0.26209,0.299723,-1
0.23264,0.830242,1
0.898586,0.577562,1
0.591187,0.0375102,-1
0.133434,0.372009,-1
0.735162,0.177572,1
0.370822,0.665203,1
0.204502,0.583226,1
0.712941,0.595399,1
0.298412,0.720727,1
0.18105,0.511871,-1
0.278918,0.68475,1
0.565853,0.73914,1
0.904659,0.449806,1
0.615099,0.320089,1
0.721408,0.877189,1
0.619812,0.954048,1
0.707431,0.518398,1
0.531609,0.298618,1
0.555908,0.665044,1
0.670627,0.29107,1
0.842616,0.0414483,-1
0.956273,0.0471179,-1
0.624674,0.669214,1
0.642516,0.923086,1
0.389941,0.823567,1
0.434957,0.668859,1
0.508317,0.00081025,-1
0.407999,0.412976,1
0.450616,0.0230979,-1
0.733065,0.172024,1
0.900287,0.352876,1
0.126071,0.607717,-1
0.871274,0.657681,1
0.906335,0.427182,1
0.322725,0.576962,1
0.718252,0.165341,1
0.61841,0.674525,1
0.212459,0.243084,-1
0.343738,0.854975,1
0.16617,0.733679,1
0.678542,0.601128,1
0.402538,0.186859,-1
0.601938,0.810537,1
0.599834,0.0525541,-1
0.833635,0.332899,1
0.224578,0.733922,1
0.685775,0.350649,1
0.341639,0.557049,1
0.00832973,0.247974,-1
0.984231,0.331054,1
0.824936,0.702483,1
0.496395,0.443346,1
0.377008,0.708854,1
0.68643,0.720746,1
0.563829,0.8526,1
0.454425,0.242371,1
0.453727,0.856964,1
0.42923,0.0556653,-1
0.667501,0.0290642,-1
0.108219,0.501136,-1
0.361963,0.332797,1
0.235058,0.0477382,-1
0.683446,0.576697,1
0.604787,0.691776,1
0.824671,0.589018,1
0.0228302,0.649607,-1
0.291501,0.519225,1
0.0929526,0.668509,-1
0.228079,0.779382,1
0.389255,0.791908,1
0.631982,0.84368,1
0.0342796,0.0857094,-1
0.700644,0.463509,1
0.141375,0.368145,-1
0.492574,0.249594,1
0.869281,0.854537,1
0.582391,0.104339,-1
0.902275,0.265837,1
0.681036,0.507062,1
0.957613,0.505707,1
0.0960805,0.980443,-1
0.155314,0.387582,-1
0.499669,0.248267,1
0.0560905,0.727748,-1
0.0276488,0.445345,-1
0.519656,0.659631,1
0.289026,0.553936,1
0.74534,0.989669,1
0.0174454,0.886715,-1
0.357814,0.510019,1
0.136309,0.227095,-1
0.364556,0.7187,1
0.331434,0.266831,-1
0.984537,0.0124693,-1
0.773893,0.94215,1
0.518176,0.869973,1
0.922594,0.67349,1
0.257555,0.422262,1
0.921757,0.313646,1
0.15001,0.949406,1
0.758991,0.669667,1
0.609037,0.0480165,-1
0.223603,0.354377,-1
0.0376859,0.241048,-1
0.241091,0.3955,-1
0.751067,0.3774,1
0.622595,0.115623,-1
0.0961005,0.954028,-1
0.382453,0.0806378,-1
0.966498,0.156346,1
0.0227882,0.484674,-1
0.0263197,0.945382,-1
0.158164,0.283875,-1
0.367644,0.0799214,-1
0.59752,0.517655,1
0.0293272,0.356511,-1
0.187321,0.638364,1
0.404528,0.410924,1
0.99274,0.442214,1
0.651972,0.233832,1
0.837714,0.403038,1
0.611232,0.460308,1
0.518661,0.707333,1
0.414337,0.901114,1
0.787971,0.380834,1
0.0574608,0.810759,-1
0.865508,0.0837805,-1
0.756141,0.0236727,-1
0.367655,0.123785,-1
0.103594,0.965176,-1
0.641439,0.132921,-1
0.321687,0.828761,1
0.771285,0.726215,1
0.239684,0.764025,1
0.168428,0.891656,1
0.997857,0.00614174,-1
0.294694,0.60909,1
0.46645,0.813355,1
0.316422,0.880787,1
0.71447,0.104393,-1
0.261621,0.77193,1
0.915152,0.127129,1
0.855711,0.671292,1
0.150802,0.223366,-1
0.795077,0.254396,1
0.188542,0.436517,-1
0.387317,0.510229,1
0.265277,0.158602,-1
0.236444,0.504962,1
0.922628,0.404872,1
0.396617,0.920485,1
0.411014,0.691311,1
0.529575,0.877464,1
0.504666,0.845997,1
0.75825,0.219136,1
0.95039,0.019871,-1
0.991067,0.865542,1
0.147,0.846777,1
0.536834,0.297802,1
0.0701438,0.331912,-1
0.552198,0.258686,1
0.768429,0.939515,1
0.768915,0.033706,-1
0.0981169,0.00535847,-1
0.538667,0.0207446,-1
0.41023,0.935285,1
0.94123,0.821244,1
0.626596,0.470805,1
0.698707,0.131262,-1
0.316802,0.456958,1
0.350398,0.267192,-1
0.476829,0.341465,1
0.132734,0.623829,-1
0.188242,0.669569,1
0.921631,0.258386,1
0.00148045,0.473828,-1
0.517072,0.769909,1
0.413343,0.285987,1
0.803615,0.51146,1
0.291345,0.342282,-1
0.532204,0.701576,1
0.277567,0.473434,1
0.52282,0.904163,1
0.944238,0.221527,1
0.0354254,0.26104,-1
0.678485,0.385824,1
0.528232,0.155314,-1
0.727289,0.660967,1
0.779142,0.915531,1
0.330535,0.700773,1
0.173918,0.332016,-1
0.174601,0.69099,1
