x,y,target
0.577581,0.313365,-1
0.466886,0.498336,-1
0.327883,0.948971,1
0.928324,0.0672286,-1
0.222964,0.963426,1
0.714895,0.253519,-1
0.815738,0.262327,-1
0.653719,0.0703249,-1
0.110522,0.608715,1
0.67299,0.316304,-1
0.679461,0.811039,1
0.134566,0.334541,-1
0.839111,0.93896,1
0.314201,0.280699,-1
0.0312181,0.609303,1
0.747721,0.608799,1
0.922668,0.214607,-1
0.107135,0.250551,-1
0.163578,0.0354583,-1
0.31778,0.386542,-1
0.998884,0.0326745,-1
0.640061,0.814623,1
0.295002,0.29378,-1
0.884947,0.405524,-1
0.902494,0.557937,1
0.721828,0.581955,1
0.368976,0.856395,1
0.916496,0.208088,-1
0.795355,0.230697,-1
0.488786,0.826573,1
0.84,0.236508,-1
0.435372,0.762668,1
0.451114,0.542506,1
0.0132192,0.614692,1
0.577965,0.330999,-1
0.00123463,0.576849,1
0.363674,0.641295,1
0.391471,0.658676,1
0.935075,0.276419,-1
0.0641996,0.837569,1
